Type,Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
Bangalows,CEILAO VILLAS COLOMBO,"47/1,JAWATTE ROAD, COLOMBO 5.",6,A,Colombo,Colombo,Colombo,79.867188,6.897036
Bangalows,5TH LANE HOUSE,"51/1A, FIFTH LANE COLOMBO 3.",4,A,Colombo,Colombo,Colombo,79.854306,6.904586
Bangalows,KIKILI HOUSE,"32, LOWER DICKSON ROAD, GALLE.",4,A,Galle,Galle,Galle,,
Bangalows,AMAYA BUNGALOW,"258, BOWALAWATTA,KANDY",8,A,Kandy,Kandy,Kandy,,
Bangalows,CINNAMON VILLA,"KADJUGASDUWA ESTATE,MIRISWATTA, HABURUGALA, BENTOTA.",4,A,Galle,Bentota,Benthota,,
Bangalows,MUTTON BUTTON,"96/21/D, RAJAPIHILLA MAWATHA, KANDY",8,A,Kandy,Kandy,Kandy,80.644256,7.284123
Bangalows,CEILAO VILLAS KIRINDA,"SUDUWELIPALASSA, KATTADIWEWA, KIRINDA.",2,A,Hambantota,Hambantota,Hambantota,81.33386,6.228375
Bangalows,CEILAO VILLAS KABALANA,"KABALANA, WELHENGODA, AHANGAMA.",4,A,Galle,Galle,Galle,80.346907,5.978085
Bangalows,FOREST VILLA,"185B, RAJAPIHILLA MW, KANDY",5,A,Kandy,Kandy,Kandy,80.643597,7.284137
Bangalows,VIHARAGALA ESTATE BUNGALOW,"BERAGALA KOSLANDA RD, NIKAPOTHA P.O. VIA HAPUTALE",5,A,Badulla,Haldummulla,Haldummulla,80.941688,6.760753
Bangalows,LA VILLA SANCTUARY,"1143/G/6, THE SANCTUARY, FOREST DRIVE, THALAWATHUGODA.",2,A,Colombo,Colombo,Colombo,79.932122,6.879158
Bangalows,CLIFF HOUSE,"LABUGOLLA, HATHARALIYADDA.",4,A,Kandy,Kandy,Kandy,,
Bangalows,PARADISE KANDY,"195/7A,RICHMOND HILL ESTATE, HEERASSAGALA,KANDY",5,A,Kandy,Kandy,Kandy,80.619126,7.276424
Bangalows,SUNROCK,"195/1A, HEERASSAGALA ROAD, KANDY.",5,A,Kandy,Kandy,Kandy,80.622612,7.27082
Bangalows,THE BLISS,"18, WIJEYA ROAD, TUDELLA, JA ELA.",5,A,Gampaha,Gampaha,Ja-Ela,79.893517,7.066622
Bangalows,JUNGLE TIDE,"UDUWELA,HANTANE,KANDY",4,A,Kandy,Kandy,Kandy,80.655947,7.233831
Bangalows,NATURES TREAT BUNGLOW,"494/4, 4TH LANE,RUWANPURA SOUTH, KALAPALALUWAWE ROAD, AGGONA JUNCTION",3,A,Colombo,Kaduwela,Battaramulla,79.920741,6.914802
Bangalows,KANO LANKA CENTRE,"MAHATENNA ESTATE, ELKADUWA, MATALE.",10,B,Matale,Mawathagama,Ukuwela,80.610315,7.409476
Bangalows,RIVERSIDE BUNGALOW,"RIVER SIDE BUNGLOW, NO 55, PARADISE ISLAND ROAD,BENTOTA",4,A,Galle,Bentota,Benthota,,
Bangalows,LIYON LANKA,"188/1, N.J.V COORAY MAWATHA, NAWALA,RAJAGIRIYA",5,A,Colombo,Colombo,Nugegoda,,
Bangalows,51 BUNGALOW,"51,QUINTIN FERNANDO MAWATHA,NEGOMBO",2,A,Gampaha,Gampaha,Negombo,,
Bangalows,DINUDA RESORT,"PUDUKUDUERIPPU, SETHAWADI, KALPITIYA",4,B,Puttalam,Kalpitiya,Kalpitiya,79.736991,8.229038
Bangalows,LANDS END BUNGALOW,"YADDEHIMULLA ROAD, UNAWATUNA",7,A,Galle,Habaraduwa,Habaraduwa,80.240342,6.008725
Bangalows,GREGORY'S BUNGALOW,"109, UPPER LAKE ROAD, NUWARA ELIYA",6,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,80.784538,6.956362
Bangalows,KAHAMBE ESTATE VILLA,"73/1, KAHAMBE ESTATE, KAHAMBE, PILIMATHALAWA",4,B,Kandy,Udunuwara,Udunuwara,80.550455,7.255776
Bangalows,WHITE PALACE,"NO 92, GALMADUWA ESTATE, KUNDASALE",5,A,Kandy,Kundasle,Kundasale,,
Bangalows,DEEN HAUS,"15/1, BEACH ROAD, MOUNTLAVINIA.",5,A,Colombo,Dehiwala-Mount Lavinia,Dehiwala,,
Bangalows,TEARAMB HOLIDAY BUNGALOW,"38, KARAGASTHALAWA, KATUKITHULA",4,A,Nuwara Eliya,Wellawaya,Kothmale,80.676164,7.074153
Bangalows,UVA BEN HEAD PLANTATION (UPPER) BUNGALOW,"UVA BEN HEAD ESTATE, WELIMADA",4,A,Badulla,Welimada,Welimada,,
Bangalows,GAGA ADDARA GUEST,"7TH MILE POST, HEPOLA, DIYAKOBBALA, BIBILE",4,B,Moneragala,Bibile,Bibile,,
Bangalows,TRANQUILLA,"KADJUWETIYA ROAD, PELPITIGODA.",4,A,Kalutara,Pathahewaheta,Ingiriya,,
Bangalows,AIRPORT VILLA,"LIVER BROTHER ROAD, LIYANAGEMULLA ROAD, SEEDUWA",5,A,Gampaha,Seeduwa,Katana,79.872697,7.142227
Bangalows,SATORI VILLA,"KORATUWA GEDARA, MATARAMBA ROAD, UNAWATUNA, GALLE.",4,A,Galle,Akmeemana,Akmeemana,80.271419,6.021524
Bangalows,GALKANDA WALAUWE,"27, WALALA, MENIKHINNA",3,A,Kandy,Kundasle,Kundasale,80.687187,7.319149
Bangalows,HILL WAY TOUR INN,"102 1/1, RAJAPIHILLAWA MAWATHA, KANDY",5,B,Kandy,Kandy,Kandy,80.649055,7.283988
Bangalows,IVORY BUNGALOW,"HASTHI LANKA, TEMPLE ROAD, GANEHIMULLA, DEVALAPOLA",4,A,Gampaha,Minuwangoda,Minuwangoda,,
Bangalows,DICK OYA BUNGALOW,"HATTON MASKELIYA ROAD, DICK OYA ESTATE, DICK OYA",4,A,Nuwara Eliya,Hatton-Dickoya,Ambagamuwa,,
Bangalows,MANGO VILLA,"54, TEMPLERS ROAD, MOUNT LAVINIA",4,A,Colombo,Dehiwala-Mount Lavinia,Mount Lavinia,,
Bangalows,DEERPOINT BUNGALOW,"18/7A,SISIL SEWANA, SIRIMALWATTA, KANDY",6,A,Kandy,Kundasle,Kandy,80.650061,7.300052
Bangalows,SERENITY LAKE FRONT VILLA,"90/15(90/13A), BILYMORIA MAWATHA, IHALA INDEBEDDA, MORATUWA",4,A,Colombo,Moratuwa,Moratuwa,79.900295,6.77621
Bangalows,GALKADAWALA FOREST LODGE,"GALKADAWALA, PALUGASWEWA, HABARANA",4,A,Polonnaruwa,Palugaswewa,Palugaswewa,80.69252,8.031355
Bangalows,AMALI RESIDANCE,"62/10, OLD KOTTAWA ROAD, DABARE ROAD, MIRIHANA, NUGEGODA",5,A,Colombo,Kotte,Sri jayawadanapura,,
Bangalows,ABEYS VILLA,"140, GALLE ROAD,PINWATTE,PANADURA",5,A,Kalutara,Panadura,Kalutara,79.918264,6.686462
Bangalows,KOTHMALE HOLIDAY BUNGALOW,"126, NAWA NUGAWELA, GAMPOLA",3,A,Nuwara Eliya,Nuwara Eliya,Kothmale,80.592182,7.063135
Bangalows,PEACOCK RESIDENCE,"NIDANGALA WATTE, MALIGATENNA, 5 ELA, SHRAWASTIPURA",5,B,Anuradhapura,Anuradhapura,Anuradhapura East,80.38993,8.308446
Bangalows,THAMBILI BEACH HOUSE,"400, GURU KANDA, DALAWELLA, UNAWATUNA, GALLE",4,A,Galle,Habaraduwa,Habaraduwa,,
Bangalows,PLANTATION VILLA,"PLANTATION VILLA, WATTALAYA WATTE, NEHINNA, DODANGODA",8,A,Kalutara,Kalutara,Kalutara,80.062346,6.548825
Bangalows,VILLA MAYURANA,"PELASSA ROAD, SANTHOSAGAMA 80650, AHANGAMA",4,A,Galle,Habaraduwa,Habaraduwa,80.341569,6.007656
Bangalows,BOLGODA COTTAGE,"149, GALKANUWA ROAD, GORAKANA, KESELWATTE, MORATUWA",4,A,Kalutara,Kalutara,Kalutara,,
Bangalows,ROYAL COCOON,"2, WEDDERBURN ROAD, NUWARA ELIYA",7,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,80.770444,6.968445
Bangalows,APSARA,"332, WELIPENNA ROAD, ALUTHGAMA",3,A,Kalutara,Aluthgama,Aluthgama,80.003386,6.433525
Bangalows,PASMEEGODA ESTATE BUNGALOW,"PASMEEGODA ESTATE, KOHOLANA, KALUTARA",4,B,Kalutara,Kalutara,Kalutara,79.966016,6.588994
Bangalows,HILL CREST VILLA,"3, HILL CREST VILLA GREEN, UDA PERADENIYA, KANDY",5,A,Kandy,Kandy,Gagawata,80.61694,7.257661
Bangalows,MANGO HOUSE,"3, LEYN BAAN CROSS STREET, GALLE FORT, GALLE",7,A,Galle,Galle,Galle,80.218427,6.026796
Bangalows,THE KANDYAN VILLA,"532/30, HEERASSAGALA ROAD, HEERASSAGALA, KANDY",3,A,Kandy,Gagawata Koralya,Gagawata,80.622027,7.266516
Bangalows,SPLASHBUG RESIDENCIES,"42/2, WATAMAWATHA ROAD, NAWINNA, MAHARAGAMA",5,A,Colombo,Colombo,Maharagama,,
Bangalows,FORT BLISS,"84, LIGHT HOUSE STREET, FORT, GALLE",4,A,Galle,Galle,Galle,80.217201,6.024691
Bangalows,HERITAGE LIFE,"46/100,. KASAPAGAMA, PIDURANGALA, SIGIRIYA",3,A,Matale,Dambulla,Dambulla,,
Bangalows,1ST CHOICE,"9/1, FIRST LANE, RATMALANA, MOUNT LAVINIA",5,B,Colombo,Dehiwala-Mount Lavinia,Ratmalana,79.875503,6.819636
Bangalows,VILLA BAYWATCH,"PEELA ROAD, BUONAVISTA, RUMASSALA, GALLE",6,A,Galle,Habaraduwa,Habaraduwa,80.23837,6.016349
Bangalows,KETHA TOURIST BUNGALOW,"INDURUOWITA, THITHAGALLA, AHANGAMA",3,A,Galle,Galle,Imaduwa,,
Bangalows,VILLA ROSA,"71/20, DODANWELA PASSAGE, ASGIRIYA, KANDY",5,A,Kandy,Kandy,Gagawata,80.623796,7.299604
Bangalows,AARA RESIDENCES,"9/4, DE SERAM ROAD, MOUNT LAVINIA",4,A,Colombo,Colombo,Colombo,,
Bangalows,MODERN CITY INN,"426, MAIN STREET, NEGAMBO",8,A,Gampaha,Gampaha,Negombo,79.844831,7.212444
Bangalows,MAX WADIYA,"147,GALLE ROAD, (PARROT JUNCTION), URAWATTE, AMBALANGODA",3,A,Galle,Galle,Galle,80.057195,6.220452
Bangalows,LEISURE BUNGALOW,"101/18, MANIKPURAGAMA, WALLIMATAGAMA, KATARAGAMA",4,A,Moneragala,Katharagama,Moneragala,,
Bangalows,BEDDEGAMA ECOPARK,"653/3, KAWANTHISSAPURA, TISSAMAHARAMA",7,A,Hambantota,Thissamaharama,Thissamaharama,,
Bangalows,COLOMBO LOFT,"365/3, R.A DE MEL MAWATHA, COLOMBO 3",1,A,Colombo,Colombo,Colombo,,
Bangalows,TAMARIND,"1/104, RAHULA MAWATHA, DIGANA",3,A,Kandy,Kundasle,Kundasale,80.749437,7.265486
Bangalows,HILL SAFARI,"LOWER BRAY ESTATE, OHIYA",5,B,Badulla,Welimada,Haldummulla,80.8563,6.797426
Bangalows,OAK RESIDENCIES,"NO. 83/2/1 & 83/2/2, SARATHCHANDRA DIAS MAWATHA, PAMUNUVILA, KIRIBATHGODA",4,A,Gampaha,Gampaha,Biyagama,79.932283,6.970955
Bangalows,LALITH VILLA,"35, SAMUDRADEVI MAWATHA, ETHUL KOTTE",4,A,Colombo,Kotte,Colombo,,
Bangalows,LANKA STAR BUNGALOW,"66/6, RATHNAYKE MAWATHA, PELAWATTE, BATTARAMULLA",4,A,Colombo,Kaduwela,kaduwela,79.926141,6.886401
Bangalows,WADDUWA BEACH VILLA,"36/17, SANATH PERERA MAWATHA, SOUTH THALPITIYA, WADDUWA",6,A,Kalutara,Panadura,Panadura,79.922982,6.670927
Bangalows,LOTUS CHALETS ECO HOTEL-UDAWALAWA,"PAHALA KUMBUKEWEWA, CANAL ROAD, MIGAHAJANDURA, SOORIYAWEWA",3,A,Hambantota,Hambantota,Sooriyawewa,81.02264,6.365119
Bangalows,VILLA DE ROSHE,"60 6C, UNIQUE VIEW ROAD, NUWARA ELIYA",3,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,80.762589,6.963889
Bangalows,CRANFORD VILLA,"542, KAHAGOLLA, DIYATHALAWA",5,A,Badulla,Haputale,Bandarawela,,
Bangalows,THE SHADY NOOK - DIGANA,"1/149, VICTORIA RANGE, KENGALLA",4,A,Kandy,Kundasle,Kundasale,80.737145,7.288235
Bangalows,KANDY SALUBRIOUS RESIDENCE,"13/4, DEEKIRIMADAWALA, NATTARAMPOTHA",5,A,Kandy,Kundasle,Kundasale,,
Bangalows,HATALE BUNGALOW,"392, MAIN STREET, MATALE",5,A,Kandy,Kandy,Kandy,80.727487,7.374981
Bangalows,COCO VILLE,"WATERVILLE ESTATE, KUMBURUMULA ROAD, KALKUDA",3,A,Batticaloa,Batticaloa,Batticaloa,81.565127,7.910318
Bangalows,KANDY HILLS BUNGALOW,"96/1, PUNCHI BOGAPITIYA, DUMARA MAWATHA, BALAGOLA",2,A,Kandy,Kandy,Kandy,,
Bangalows,ESCONDITE,"17/2, SUDHARMAN MAWATHA, RAJAMAHA VIHARA ROAD, PITA-KOTTE",5,A,Colombo,Colombo,Battaramulla,79.913016,6.881239
Bangalows,LAKE VIEW VILLA,"LAKE VIEW VILLA, KATHALUWA, AHANGAMA.",4,A,Galle,Habaraduwa,Habaraduwa,80.346964,5.993668
Bangalows,HALA HOUSE COLOMBO,"NO 7, KOTHALAWALA GARDENS, COLOMBO 4",9,A,Colombo,Colombo,Thimbirigasyaya,,
Bangalows,ELEPHANT REACH VILLA,"NO 686, KEGALLE - RAMBUKKANA ROAD, PINNAWALA",4,A,Kegalle,Rambukkana,Rambukkana,80.386898,7.304627
Bangalows,FIELD GARDEN,"NO 183/1, STATION MAWATHA, MAHARAGAMA",4,A,Colombo,Maharagama,Maharagama,,
Bangalows,ZODA BOLGODA,"WADAKKARA KOTUWA, MEDAGAMA, BANDARAGAMA",3,A,Kalutara,Bandaragama,Bandaragama,,
Bangalows,ANCOOMBRA HOLIDAY BUNGALOW,"392, MAIN STREET, MATALE",4,A,Kandy,Kandy,Poojapitiya,,
Bangalows,LIGHT HOUSE PROPERTY,"48, LIGHT HOUSE STREET, FORT, GALLE",4,A,Galle,Galle,Galle,,
Bangalows,AMBALAMA VILLA,"596, MATARA ROAD, DALAWELLA, UNAWATUNA",4,A,Galle,Habaraduwa,Habaraduwa,80.260597,6.00147
Bangalows,SATIN SANDS LANKA,"796, MATARA ROAD, MIHIRIPANNA, THALPE",4,A,Galle,Habaraduwa,Habaraduwa,,
Bangalows,HERITAGE BUNGALOW (PVT) LTD,"NO 59, MIRISWATTE, PUWAKPITIYA",3,A,Colombo,Seethawaka,Seethawaka,,
Bangalows,SHADY GROVE TOURIST BUNGALOW,"7, GANTHERA MAWATHA, WATAPULAWA, KANDY",4,A,Kandy,Kandy,Kandy,80.6434,7.321631
Bangalows,VILLA PANORAMA,"429/5, SARASAVIGAMA ROAD, MAHAKANDA, HINDAGALA",6,A,Kandy,Gagawata Koralya,Kandy,80.610235,7.224908
Bangalows,DIYAGAL VILLA,"42, PITAWALA ROAD, HIRIWADUNNA, PINNAWALA, RAMBUKKANA",4,A,Kegalle,Kegalle,Rambukkana,80.387853,7.288899
Bangalows,KADUGANNAWA REACH,"YATANTALE, UDAMULLA",7,B,Kegalle,Kegalle,Mawanella,,
Bangalows,COLOMBO VILLA,"16/6, CAMBRIDGE PLACE, COLOMBO 7",4,A,Colombo,Colombo,Colombo,79.860018,6.907345
Bangalows,THE WIND,"16.B, ANDIYAMBALAMA",1,B,Gampaha,Gampaha,Katana,,
Bangalows,LODGE 19,"NO 19, AVE MARIA ROAD, NEGOMBO",6,A,Gampaha,Negombo,Negombo,79.843006,7.214054
Bangalows,VILLA MAGGONA,"82/2, GALLE ROAD, MAGGONA",4,A,Kalutara,Kalutara,Kalutara,,
Bangalows,ALLSPICE VILLA,"730A, KOTTE ROAD, ETHUL KOTTE",4,A,Colombo,Sri Jayawardenapura-Kotte,Sri jayawadanapura,79.905837,6.895521
Bangalows,NEW OLD DUTCH HOUSE,"NO 21, MIDDLE STREET, FORT, GALLE",6,B,Galle,Galle,Galle,80.21553,6.028071
Bangalows,THE PRIVACY ECO LODGE,"394, AKURALA, KAHAWA",3,B,Galle,Hikkaduwa,Hikkaduwa,,
Bangalows,KIRCHHAYN BUNGALOW,"KIRCHHAYN BUNGALOW, AISLABY FARM & ESTATE, BANDARAWELA",5,A,Badulla,Bandarawela,Bandarawela,80.98351,6.864006
Bangalows,VILLA 4 U,"VILLA 4 U"", SHRAMADHANA MAWATHA, KALUWAMODARA, ALUTHGAMA",4,A,Kalutara,Beruwala,Beruwala,79.997339,6.444442
Bangalows,ECO JUNGLE HIDEOUT,"ECO JUNGLE HIDEOUT, BERAGAMA, MAKADURA, MULATIANA",4,A,Matara,Mulatiyana,Mulatiyana,80.566296,6.162424
Bangalows,GROVE SRI LANKA,"DIAS WATTE, ATTAVILLU, PALAVIA, PUTTALAM",2,A,Puttalam,Puttalam,Puttalam,79.843058,7.979181
Bangalows,JASMIN VILLA,"JASMIN VILLA, DAMBULLA ROAD, HABARANA",3,A,Anuradhapura,Anuradhapura,Palugaswewa,,
Bangalows,COCO PALMS,"COCO PALMS, YAKKALA ESTATE, TANK ROAD, IBBAGAMUWA",3,A,Kurunegala,Ibbagamuwa,Ibbagamuwa,,
Bangalows,SEVENAGAMA,"SEVANAGAMA ROAD, OFF TRINCO ROAD, HABARANA",4,A,Anuradhapura,Palugaswewa,Palugaswewa,80.75421,8.049015
Bangalows,KUMBUKGAS MANKADA-SIGIRIYA,"KUMBUKGAS MANKADA, AUDANGAWA, SIGIRIYA",3,A,Matale,Dambulla,Dambulla,80.743527,8.000215
Bangalows,VILLA 29 RATHNAGIRI,"NO. 29, RATNAGIRI, AKURALA,KAHAWA.",4,B,Galle,Hikkaduwa,Hikkaduwa,,
Bangalows,DUTCH HOUSE,"DUTCH HOUSE, ""SAGALA"",POONAGALA ROAD, BANDARAWELA",2,A,Badulla,Bandarawela,Bandarawela,80.998309,6.824441
Bangalows,WHITE HOUSE-AMPARA,"NO 229, NEW TOWN, AMPARA",5,A,Ampara,Ampara,Ampara,81.685484,7.299177
Bangalows,GOLDEN NEST VILLA,"NO 50 A, THAPODARAMA TEMPLE ROAD, HANTANA, KANDY",5,A,Kandy,Gagawata Koralya,Kandy,,
Bangalows,15 L M D,"NO 87, LADY MANNING DRIVE , BATTICALOA",4,B,Batticaloa,Batticaloa,Batticaloa,,
Bangalows,THE SANCTUARY BOUTIQUE BUNGALOW,"NO 29 ""DUMIDU SEVANA"", DEVI ROAD, WATAPULUWA, KANDY.",4,A,Kandy,Kandy,Kandy,,
Bangalows,KIZUNA HOUSE,"MEEGAHAPALLASSA JUNCTION, MEEGAHAPALLASSA, WELIPANNAGAHAMULLA",4,A,Kurunegala,Udubaddawa,Udubaddawa,79.942617,7.446826
Bangalows,SUPUN VILLA,"SUPUN VILLA, PITARAMA, BENTOTA",5,A,Galle,Bentota,Benthota,79.998279,6.42059
Bangalows,FERNCLIFF BOUTIQUE BUNGALOW,"NO 7/10,WEDDER BURN ROAD,NUWARA ELIYA",4,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,80.76969,6.971091
